comid,MMI_BENT,agkffact,bfi,cbnf,conif,crophay,fert,manure,pestic1997,urbmdhi,lon,lat,easting,northing,state
8931482,0.359,0,64.32096236,0,0.058537728,0,0,0,0.032330754,59.0879822,-119.7781164,39.54272683,-1814.577886,4735.798834,Nevada
14679932,0.272,0.094245729,23,6.416212286,0,38.13158851,16.20937841,0,12.36420451,0.036350418,-99.77111154,47.17341265,-13.01826919,5246.717851,North Dakota
10734232,0.308,0.011324705,67.47732029,3.347555127,18.23086421,3.315356738,1.311469709,0.165113972,1.605600383,0.132391166,-118.7143649,38.69495536,-1750.858402,4611.044014,Nevada
15585878,0.282,0.132438424,31.18226601,3.136699507,0.246305419,20.19704433,10.10714286,1.742610837,5.478295454,0.123152709,-81.17701184,41.49184804,1487.732587,4661.391559,Ohio
19514006,0.238,0.167140903,34.35294118,7.143638851,0.615595075,50.95759234,10.20519836,1.530779754,16.88457489,0.068399453,-87.0324474,35.6743764,1040.357826,3964.278486,Tennessee
20451100,0.268,0,28.79487179,0,38.03837774,0,0,0,0,9.225741579,-112.4386227,34.6043135,-1294.215366,4006.057066,Arizona
12134984,0.426,0,72,0,6.089309878,1.894451962,0,0,46.0330538,0.947225981,-86.14407307,43.3731818,1055.496468,4825.137875,Michigan
14680560,0.405,0.035813953,25,2.835271318,0,30.03875969,7.162790698,0,17.41800681,0,-99.73058585,47.08001328,-10.84616055,5236.07748,North Dakota
1668835,0.166,0.005365699,22.5642774,0.803991848,14.69143611,4.092580879,6.990262453,2.255643795,32.47864752,12.00209275,-122.5187101,38.08469274,-2112.579269,4652.236495,California
10187680,0.399,0,37,0,0.2048403,0.075866778,0,0,0.003282389,0.053106745,-83.70260555,36.68198704,1331.722213,4100.112058,Kentucky
14678202,0.077,0.075963667,23,3.032047592,0,37.68950297,10.35949594,0,19.45564125,0.191901746,-100.3915328,47.2736045,-58.94561668,5262.125839,North Dakota
2255595,0.446,0.137594563,20,8.877068558,0,46.51300236,17.31028369,0.887706856,19.61731621,0.11820331,-95.04206601,39.34875593,324.0378829,4357.468195,Kansas
20637202,0.37,0.001268642,59.10100668,0.321585976,7.108709586,0.228790992,0.061956931,0.079658911,0.037684072,0.006607682,-115.1170532,38.39816207,-1441.487577,4489.43501,Nevada
10693615,0.488,0,65.91049872,0,47.9777954,0,0,0,0,0,-117.1657182,39.24104021,-1596.515773,4632.730564,Nevada
1827948,0.349,0.013399177,22,1.086419753,0,3.78600823,1.774485597,0.181069959,4.033016375,0,-84.68016823,37.48622325,1236.196929,4181.472412,Kentucky
4131447,0.461,0.206190265,12.69482107,2.018226273,0,49.03311847,13.62302734,0,10.42565788,0.177817293,-96.72999948,32.05642469,147.7881469,3552.780167,Texas
18407394,0.243,0.073436941,29.11569534,1.297687327,0.265186556,27.77674992,3.530496454,0,2.347836012,0.505704595,-86.91393539,36.30450011,1046.715037,4034.952257,Tennessee
5105598,0.526,0.1937474,13.84041605,12.55274889,3.625557207,58.21693908,10.27043091,3.994056464,16.11638666,0.416047548,-94.02983674,40.31622506,412.4995142,4463.364883,Missouri
5136201,0.621,0.020947008,14.03223857,1.624017731,0,4.533548257,2.248639936,0.312311102,13.91314431,0.12089462,-93.76904272,40.59856525,434.9312095,4494.479738,Iowa
14666039,0.087,0.006945834,28.10501251,0.495285742,0,2.410044256,1.21069848,0,0.390154935,0.01924187,-99.48539551,46.35978716,1.136700981,5154.498761,North Dakota
14665971,0.14,0.070148116,28.10989499,4.7938256,0.000752242,30.96753325,11.71824036,0,11.2109101,0.038364326,-99.51197067,46.36862534,-0.825942991,5155.648977,North Dakota
22721231,0,0,71,0,0,3.664921466,0,0,1.181188727,0,-81.89301026,33.29952545,1536.626128,3740.078327,Georgia
5925122,0.399,0.148582677,24.91994751,8.32808399,0,47.90026247,30.12926509,0.412729659,48.68001327,0,-97.37485966,39.33209745,122.8778472,4362.766149,Kansas
11537085,0.287,0.011094494,15,0.426920462,0,13.80693406,1.536913664,0.036981645,11.43699806,0.006798097,-99.31254911,44.47699836,-2.04917267,4944.270929,South Dakota
20595958,0.376,0.002638213,55.98497833,0.924565791,57.08246477,0.458515006,0.186404393,0.007456176,0.166166656,0.035980691,-114.2671692,37.90817583,-1379.471154,4415.667876,Nevada
20677787,0.516,0,33,0,0,0,0,0,0.071265953,0,-114.4095307,36.50495728,-1429.729701,4260.38592,Nevada
8347909,0.59,0.064629297,15.24069056,0.940383034,5.815546692,21.28002923,11.84882623,0,14.07234503,0.13092592,-95.92506533,33.73038148,228.9806455,3736.105364,Texas
19533132,0.213,0.12697559,30,4.505585436,1.075713695,38.97393463,6.553578817,14.74555234,1.901759336,0.289615225,-86.38138368,35.37073292,1101.666464,3934.326207,Tennessee
5329251,0.32,0.000232116,23.8342277,0.022584257,25.40535845,0,0.196357565,0.063361387,6.73E-05,0.108095587,-122.7367131,38.08241078,-2132.258436,4658.853566,California
8432032,0.548,0.013904309,39.37602245,0.608234368,3.949484924,7.050207057,2.312878606,1.577295595,9.176001498,0.037646737,-78.59737052,39.13361999,1747.396478,4431.725773,West Virginia
14683236,0.211,0.090575869,27.14352143,10.01989179,0,42.70494875,11.88312709,0,28.66932013,0.414791313,-99.41707082,46.89522969,11.25372473,5213.544819,North Dakota
5813683,0.605,0.034113047,21.70875696,2.191397085,0.130347198,13.05367935,1.992179168,0.099608958,4.107354476,2.078445313,-92.64365025,40.17732326,530.3391132,4447.499537,Missouri
1299520,0.398,0.202147117,9,2.465208748,0,49.40357853,16.76341948,0,8.532685711,0.198807157,-96.20016563,32.46570765,199.1983152,3596.569937,Texas
10272552,0.488,0.249185804,67,52.9519833,0,62.83924843,7.787056367,10.12317328,29.91701957,1.14822547,-112.1557568,41.17867954,-1110.252688,4739.443991,Utah
22845861,0.021,0.002255958,25.39768741,0.020766145,48.68559742,2.954456069,0.214583497,0.013844097,0.148935058,0.989538268,-92.27309424,34.53790548,566.7027334,3822.040389,Arkansas
2931309,0.264,0.162631579,13,12.28867624,0,41.17490696,20.8907496,0.409622541,46.10444206,0.318979266,-91.15136209,39.33818243,659.3174817,4355.935681,Missouri
167266523,0.555,0.189992754,19,12.82233154,0.068642032,51.12305991,20.30202494,0,36.42478138,3.371086451,-95.62764437,39.00367383,272.4626852,4320.469324,Kansas
2822514,0.694,0.007372993,34.92577904,0.815864023,0,6.288951841,3.512747875,1.495750708,60.14279412,0,-120.3544871,37.5415772,-1937.937718,4525.654622,California
6027864,0.503,0.04532733,28.58268317,1.017011791,0.108523494,12.3628791,3.80157799,0.122367572,7.721766026,2.572300111,-96.71339799,34.96401817,160.9159327,3875.354959,Oklahoma
76669453,0.583,0.012290068,28.60881421,0.473914627,0.052620254,4.289083321,1.058231661,0,0.921693395,0.068811102,-80.5901034,38.81658155,1579.141634,4370.323948,West Virginia
19314376,0.283,0.038867925,29,2.885682575,0,6.770255272,7.271920089,0.346281909,3.85486993,2.996670366,-82.12545989,38.83803371,1444.987807,4355.42139,West Virginia
